股票代码,公司简称,最近一次发布报告名称,发布日期
600000,浦发银行,浦发银行2023年度企业社会责任报告（环境、社会及治理报告）,2024-04-30
600004,白云机场,广州白云国际机场股份有限公司2023年度环境、社会及治理（ESG）报告,2024-04-27
600006,东风汽车,东风汽车股份有限公司2023年度环境、社会及治理（ESG）报告,2024-04-13
600007,中国国贸,N/A,N/A
600008,首创环保,首创环保2023年度环境、社会与治理（ESG）报告,2024-04-13
600009,上海机场,N/A,N/A
600010,包钢股份,N/A,N/A
600011,华能国际,华能国际2023年度环境、社会及管治报告,2024-04-20
600012,皖通高速,皖通高速2023年环境、社会及管治报告,2024-03-29
600015,华夏银行,华夏银行2023年社会责任报告（英文版）,2024-04-30
600016,民生银行,中国民生银行2023年度社会责任报告,2024-03-29
600017,日照港,日照港2023年度企业社会责任报告,2024-03-29
600018,上港集团,N/A,N/A
600019,宝钢股份,N/A,N/A
600020,中原高速,河南中原高速公路股份有限公司2023年度社会责任报告,2024-04-11
600021,上海电力,上海电力股份有限公司董事会环境社会及治理（ESG）委员会实施细则（经公司董事会2024年第二次临时会议审议通过）,2024-04-27
600022,山东钢铁,山东钢铁股份有限公司2023年度社会责任暨ESG报告,2024-03-30
600023,浙能电力,2023年度社会责任暨环境、社会和公司治理（ESG）报告,2024-04-30
600025,华能水电,2023年度华能水电环境、社会和管治（ESG）报告,2024-04-27
600026,中远海能,N/A,N/A
600027,华电国际,2023年度社会责任报告,2024-03-28
600028,中国石化,N/A,N/A
600029,南方航空,南方航空2023年社会责任报告,2024-03-28
600030,中信证券,中信证券2023年度社会责任报告,2024-03-27
600031,三一重工,N/A,N/A
600032,浙江新能,浙江省新能源投资集团股份有限公司2023年环境、社会及公司治理报告,2024-04-30
600033,福建高速,福建高速2023年度社会责任报告,2024-04-18
600035,楚天高速,湖北楚天智能交通股份有限公司2023年度环境、社会和治理（ESG）报告,2024-04-19
600036,招商银行,N/A,N/A
600037,歌华有线,歌华有线2023年度社会责任报告,2024-04-27
600038,中直股份,中航直升机股份有限公司2023年环境、社会及管治报告,2024-03-16
600039,四川路桥,N/A,N/A
600048,保利发展,N/A,N/A
600050,中国联通,N/A,N/A
600051,宁波联合,宁波联合2023年度履行社会责任报告,2024-04-16
600052,东望时代,浙江东望时代科技股份有限公司2023年度社会责任报告,2024-04-26
600053,九鼎投资,九鼎投资2023年度社会责任报告,2024-04-16
600054,黄山旅游,N/A,N/A
600055,万东医疗,万东医疗2023年度社会责任报告,2024-03-23
600056,中国医药,2023年度环境、社会和公司治理（ESG）报告,2024-04-27
600057,厦门象屿,厦门象屿2023年度环境、社会及公司治理（ESG）报告,2024-07-20
600058,五矿发展,五矿发展股份有限公司2023年度社会责任暨ESG报告,2024-03-30
600059,古越龙山,古越龙山2023年度履行社会责任的报告,2024-03-29
600060,海信视像,海信视像2023环境、社会及治理报告,2024-06-29
600061,国投资本,国投资本股份有限公司2023年环境、社会及治理(ESG)报告,2024-03-30
600062,华润双鹤,N/A,N/A
600063,皖维高新,皖维高新2023年度社会责任报告,2024-04-16
600064,南京高科,南京高科2023年度社会责任报告,2024-04-27
600066,宇通客车,2023年度社会责任暨可持续发展报告,2024-04-02
600067,冠城大通,冠城大通2023年度社会责任报告,2024-04-18
600070,*ST富润,N/A,N/A
600071,凤凰光学,凤凰光学股份有限公司2023年环境、社会和公司治理报告,2024-04-17
